Group_ID,Light_Treatment_Population_white_eyed_Female,Light_Treatment_Population_wild_type_Female,Light_Treatment_Population_white_eyed_Male,Light_Treatment_Population_wild_type_Male,Light_Treatment_Frequency_for_white_eyed_Allele,Dark_Treatment_Population_white_eyed_Female,Dark_Treatment_Population_wild_type_Female,Dark_Treatment_Population_white_eyed_Male,Dark_Treatment_Population_wild_type_Male,Dark_Treatment_Frequency_for_white_eyed_Allele,Reporting_Year,Chron Order,,,,,,,
F21_11,0,20,8,4,0.667,2,19,7,3,0.7,F21,,,,,,,,
F21_13,0,0,0,0,0,1,4,3,3,0.5,F21,,,,,,,,
F21_12,0,0,0,0,0,0,20,0,20,0,F21,,,,,,,,
F21_18,0,20,1,19,0.05,0,20,0,20,0,F21,,,,,,,,
F21_10,2,18,6,14,0.3,4,16,0,20,0,F21,,,,,,,,
F21_14,0,0,0,0,0,1,19,2,18,0.1,F21,,,,,,,,
F21_16,1,19,2,18,0.1,2,18,2,18,0.1,F21,,,,,,,,
F21_15,1,19,3,17,0.15,4,16,12,8,0.6,F21,,,,,,,,
F21_23,2,18,8,12,0.4,9,11,12,8,0.6,F21,,,,,,,,
F21_22,0,0,0,0,0,0,0,0,0,0,F21,,,,,,,,
F21_26,1,7,4,2,0.667,0,0,0,0,0,F21,,,,,,,,
F21_24,8,12,7,13,0.35,5,15,12,8,0.6,F21,,,,,,,,
F21_27,5,15,10,10,0.5,1,19,6,14,0.3,F21,,,,,,,,
F21_21,3,17,11,9,0.55,3,17,5,15,0.25,F21,,,,,,,,
F21_25,0,20,5,15,0.25,12,5,3,2,0.6,F21,,,,,,,,
F21_CHAT-J,0,0,0,0,0,0,0,0,0,0,F21,,,,,,,,
F21_20,0,0,0,0,0,0,0,0,0,0,F21,,,,,,,,
F21_37,3,17,7,13,0.35,0,0,0,0,0,F21,,,,,,,,
F21_33,3,17,6,14,0.3,2,18,3,17,0.15,F21,,,,,,,,
F21_31,1,19,5,9,0.357,6,14,12,8,0.6,F21,,,,,,,,
F21_35,3,17,6,14,0.3,1,19,8,12,0.4,F21,,,,,,,,
F21_39,5,9,10,4,0.714,0,20,4,16,0.2,F21,,,,,,,,
F21_36,10,10,15,5,0.75,9,9,18,2,0.9,F21,,,,,,,,
F21_34,20,0,20,0,1,3,0,7,0,1,F21,,,,,,,,
F21_32,0,20,7,13,0.35,4,16,13,7,0.65,F21,,,,,,,,
F21_30,8,12,15,5,0.75,0,0,0,0,0,F21,,,,,,,,
F21_43,0,20,0,20,0,0,0,0,0,0,F21,,,,,,,,
F21_47,4,16,9,11,0.45,5,15,13,7,0.65,F21,,,,,,,,
F21_42,0,1,2,1,0.667,8,8,8,11,0.421,F21,,,,,,,,
F21_44,8,12,15,5,0.75,0,9,10,1,0.909,F21,,,,,,,,
F21_45,0,20,11,9,0.55,2,18,3,17,0.15,F21,,,,,,,,
F21_41,3,17,10,10,0.5,3,17,9,11,0.45,F21,,,,,,,,
F21_40,3,16,5,9,0.357,1,6,2,4,0.333,F21,,,,,,,,
F21_50,0,0,0,0,0,0,0,0,0,0,F21,,,,,,,,
F21_56,0,0,0,0,0,0,0,0,0,0,F21,,,,,,,,
F21_59,0,20,0,20,0,0,0,0,0,0,F21,,,,,,,,
F21_54,0,0,0,0,0,5,15,8,12,0.4,F21,,,,,,,,
F21_53,7,16,12,9,0.571,0,20,0,20,0,F21,,,,,,,,
F21_55,0,0,0,0,0,10,0,10,0,1,F21,,,,,,,,
F21_52,0,0,0,0,0,1,19,6,14,0.3,F21,,,,,,,,
F21_57,5,15,9,7,0.563,0,20,2,11,0.154,F21,,,,,,,,
F21_51,12,8,13,7,0.65,11,9,14,6,0.7,F21,,,,,,,,
F21_63,20,0,20,0,1,20,0,20,0,1,F21,,,,,,,,
F21_62,0,0,0,0,0,4,16,11,9,0.55,F21,,,,,,,,
F21_61,20,0,20,0,1,0,20,0,20,0,F21,,,,,,,,
F21_65,5,15,6,14,0.3,1,19,8,12,0.4,F21,,,,,,,,
F21_46,7,13,12,8,0.6,0,20,10,10,0.5,F21,,,,,,,,
F21_60,4,12,11,9,0.55,3,17,8,12,0.4,F21,,,,,,,,
F21_49,3,17,10,10,0.5,3,17,9,11,0.45,F21,,,,,,,,
F21_45,0,20,11,9,0.55,2,18,3,17,0.15,F21,,,,,,,,
S22_11,6,14,10,10,0.5,13,7,17,3,0.85,S22,,,,,,,,
S22_10,14,6,9,11,0.45,12,8,12,1,0.923076923,S22,,,,,,,,
S22_14,4,16,14,6,0.7,9,11,13,7,0.65,S22,,,,,,,,
S22_13,3,17,7,13,0.35,1,19,6,14,0.3,S22,,,,,,,,
S22_12,3,17,12,8,0.6,5,15,13,7,0.65,S22,,,,,,,,
S22_2,11,9,15,5,0.75,3,18,20,12,0.625,S22,,,,,,,,
S22_20,11,9,15,5,0.75,3,18,20,12,0.625,S22,,,,,,,,
S22_33,13,7,16,4,0.8,3,17,5,15,0.25,S22,,,,,,,,
S22_32,11,9,20,0,1,6,14,8,12,0.4,S22,,,,,,,,
S22_34,5,15,4,16,0.2,11,9,16,4,0.8,S22,,,,,,,,
S22_30,6,14,19,1,0.95,8,12,5,15,0.25,S22,,,,,,,,
S22_31,2,18,9,11,0.45,5,15,6,14,0.3,S22,,,,,,,,
S22_43,0,20,11,9,0.55,10,10,15,5,0.75,S22,,,,,,,,
S22_42,3,17,11,9,0.55,6,13,13,6,0.684210526,S22,,,,,,,,
S22_41,8,12,11,9,0.55,3,17,5,15,0.25,S22,,,,,,,,
S22_44,4,16,18,2,0.9,8,12,17,3,0.85,S22,,,,,,,,
S22_45,2,18,7,13,0.35,0,20,13,7,0.65,S22,,,,,,,,
S22_40,3,17,4,16,0.2,4,16,10,10,0.5,S22,,,,,,,,
S22_52,8,12,14,6,0.7,5,15,11,9,0.55,S22,,,,,,,,
S22_51,7,13,10,10,0.5,9,11,15,5,0.75,S22,,,,,,,,
S22_54,15,5,10,10,0.5,4,16,14,6,0.7,S22,,,,,,,,
S22_53,8,12,5,15,0.25,7,13,6,14,0.3,S22,,,,,,,,
S22_55,15,13,7,5,0.583333333,12,8,16,4,0.8,S22,,,,,,,,
S22_50,17,3,12,8,0.6,9,11,16,4,0.8,S22,,,,,,,,
S22_61,10,10,4,16,0.2,10,10,9,11,0.45,S22,,,,,,,,
S22_64,5,15,17,3,0.85,9,11,8,12,0.4,S22,,,,,,,,
S22_60,7,13,8,12,0.4,8,12,11,9,0.55,S22,,,,,,,,
S22_62,9,11,16,4,0.8,4,16,6,14,0.3,S22,,,,,,,,
S22_80,7,13,6,14,0.3,9,11,12,8,0.6,S22,,,,,,,,
S22_82,12,8,15,5,0.75,2,18,8,12,0.4,S22,,,,,,,,
S22_83,7,13,14,6,0.7,11,9,11,9,0.55,S22,,,,,,,,
S22_81,11,9,12,8,0.6,6,14,14,6,0.7,S22,,,,,,,,
S22_85,8,12,12,8,0.6,11,9,17,3,0.85,S22,,,,,,,,
S22_70,6,14,11,9,0.55,7,13,10,10,0.5,S22,,,,,,,,
S22_74,4,16,8,12,0.4,3,17,3,17,0.15,S22,,,,,,,,
S22_71,4,16,9,11,0.45,9,11,17,3,0.85,S22,,,,,,,,
S22_73,5,15,7,13,0.35,11,9,10,10,0.5,S22,,,,,,,,
S22_72,0,20,13,7,0.65,7,13,9,11,0.45,S22,,,,,,,,
S22_102,19,17,20,8,0.714285714,45,17,38,8,0.826086957,S22,,,,,,,,
S22_101,9,24,30,18,0.625,37,6,43,3,0.934782609,S22,,,,,,,,
S22_104,40,16,46,18,0.71875,15,53,30,28,0.517241379,S22,,,,,,,,
S22_103,19,21,11,10,0.523809524,15,59,27,47,0.364864865,S22,,,,,,,,
S22_105,21,39,37,15,0.711538462,25,31,35,9,0.795454545,S22,,,,,,,,
S22_92,11,9,12,8,0.6,4,16,5,15,0.25,S22,,,,,,,,
S22_94,7,13,11,9,0.55,2,18,7,13,0.35,S22,,,,,,,,
S22_90,12,15,13,4,0.764705882,13,22,13,32,0.288888889,S22,,,,,,,,
S22_93,2,18,6,14,0.3,10,10,13,7,0.65,S22,,,,,,,,
S22_200,10,10,18,2,0.9,10,10,16,4,0.8,S22,,,,,,,,
S22_202,4,16,18,2,0.9,4,16,8,12,0.4,S22,,,,,,,,
S22_205,4,16,3,17,0.15,12,8,14,6,0.7,S22,,,,,,,,
S22_201,2,18,8,12,0.4,7,13,13,7,0.65,S22,,,,,,,,
S22_203,4,16,13,7,0.65,10,10,13,7,0.65,S22,,,,,,,,
S22_302,6,14,7,13,0.35,13,7,13,7,0.65,S22,,,,,,,,
S22_300,9,11,10,10,0.5,3,17,17,15,0.53125,S22,,,,,,,,
S22_303,5,15,4,16,0.2,3,17,10,10,0.5,S22,,,,,,,,
S22_301,4,16,13,4,0.764705882,2,18,8,12,0.4,S22,,,,,,,,
S22_304,4,16,9,11,0.45,5,15,10,10,0.5,S22,,,,,,,,
S22_305,0,20,5,15,0.25,6,14,13,7,0.65,S22,,,,,,,,
S22_402,8,11,19,1,0.95,3,17,13,7,0.65,S22,,,,,,,,
S22_401,6,14,17,3,0.85,3,17,11,9,0.55,S22,,,,,,,,
S22_404,0,20,0,20,0,0,20,0,20,0,S22,,,,,,,,
S22_405,3,17,9,11,0.45,9,11,13,7,0.65,S22,,,,,,,,
S22_400,6,10,10,9,0.526315789,3,22,15,10,0.6,S22,,,,,,,,
S22_504,6,5,6,1,0.857142857,12,8,16,4,0.8,S22,,,,,,,,
S22_503,1,10,6,8,0.428571429,5,15,6,14,0.3,S22,,,,,,,,
S22_501,4,16,10,10,0.5,4,16,15,5,0.75,S22,,,,,,,,
S22_500,5,15,8,12,0.4,13,7,16,4,0.8,S22,,,,,,,,
S22_5,0,8,2,11,0.153846154,6,14,5,15,0.25,S22,,,,,,,,
S22_502,2,18,7,8,0.466666667,2,18,8,12,0.4,S22,,,,,,,,
S22_601,10,10,12,8,0.6,4,16,9,11,0.45,S22,,,,,,,,
S22_600,2,5,5,7,0.416666667,4,16,8,12,0.4,S22,,,,,,,,
S22_605,2,20,5,7,0.416666667,3,17,7,13,0.35,S22,,,,,,,,
S22_604,4,16,5,15,0.25,9,11,15,5,0.75,S22,,,,,,,,
S22_703,3,17,5,15,0.25,8,12,14,6,0.7,S22,,,,,,,,
S22_705,12,8,14,6,0.7,0,20,10,10,0.5,S22,,,,,,,,
S22_700,14,6,14,6,0.7,9,11,17,3,0.85,S22,,,,,,,,
S22_702,3,17,15,5,0.75,2,18,9,11,0.45,S22,,,,,,,,
S22_704,17,3,10,10,0.5,11,9,13,7,0.65,S22,,,,,,,,
S22_701,9,11,5,15,0.25,4,16,19,1,0.95,S22,,,,,,,,
S22_803,5,0,6,0,1,15,5,16,4,0.8,S22,,,,,,,,
S22_804,2,18,11,9,0.55,8,2,9,1,0.9,S22,,,,,,,,
S22_805,13,7,15,5,0.75,5,15,7,13,0.35,S22,,,,,,,,
S22_800,9,11,8,12,0.4,12,8,16,4,0.8,S22,,,,,,,,
S22_802,9,11,15,5,0.75,7,13,17,3,0.85,S22,,,,,,,,
S22_801,5,7,7,7,0.5,9,11,16,4,0.8,S22,,,,,,,,
S22_903,16,4,19,1,0.95,9,11,13,7,0.65,S22,,,,,,,,
S22_902,4,16,17,3,0.85,15,5,11,9,0.55,S22,,,,,,,,
S22_904,7,13,4,16,0.2,4,16,10,10,0.5,S22,,,,,,,,
S22_905,4,16,14,6,0.7,11,8,6,14,0.3,S22,,,,,,,,
S22_901,5,15,16,4,0.8,6,14,14,6,0.7,S22,,,,,,,,
S22_603,1,14,4,7,0.364,11,9,14,6,0.7,S22,,,,,,,,
S22_900,5,15,8,12,0.4,7,13,8,12,0.4,S22,,,,,,,,
F22_1,7,28,22,14,NaN,17,28,24,13,NaN,F22,F22_F22_1,,,,,,,
F22_4,7,13,8,12,0.4,6,14,5,15,0.25,F22,F22_F22_4,,,,,,,
F22_10,4,16,5,15,0.25,8,12,6,14,0.3,F22,F22_F22_10,,,,,,,
F22_11,5,15,14,6,0.7,8,12,14,6,0.7,F22,F22_F22_11,,,,,,,
F22_12,7,13,19,1,0.95,3,17,8,12,0.4,F22,F22_F22_12,,,,,,,
F22_13,3,17,16,4,0.8,6,14,11,9,0.55,F22,F22_F22_13,,,,,,,
F22_30,7,13,11,9,0.55,8,12,8,12,0.4,F22,F22_F22_30,,,,,,,
F22_31,4,16,15,5,0.75,16,2,10,2,0.833,F22,F22_F22_31,,,,,,,
F22_32,10,10,13,7,0.65,10,10,17,3,0.85,F22,F22_F22_32,,,,,,,
F22_40,8,12,11,9,NaN,3,17,3,17,NaN,F22,F22_F22_40,,,,,,,
F22_41,0,20,4,16,NaN,3,17,5,15,NaN,F22,F22_F22_41,,,,,,,
F22_42,2,15,5,18,NaN,,,,,,F22,F22_F22_42,,,,,,,
F22_43,20,0,20,0,1,12,8,17,3,0.85,F22,F22_F22_43,,,,,,,
F22_44,2,18,11,9,NaN,7,13,12,8,NaN,F22,F22_F22_44,,,,,,,
F22_60,15,5,18,2,0.9,4,16,12,8,0.6,F22,F22_F22_60,,,,,,,
F22_61,9,11,17,3,0.85,14,6,14,6,0.7,F22,F22_F22_61,,,,,,,
F22_62,3,11,7,13,0.35,2,10,8,11,0.421,F22,F22_F22_62,,,,,,,
F22_63,8,12,9,11,0.45,9,11,6,14,0.3,F22,F22_F22_63,,,,,,,
F22_64,9,11,15,5,0.75,2,18,11,9,0.55,F22,F22_F22_64,,,,,,,
F22_65,0,8,5,5,0.5,16,4,10,10,0.5,F22,F22_F22_65,,,,,,,
F22_70,15,5,18,2,0.9,1,19,13,7,0.65,F22,F22_F22_70,,,,,,,
F22_71,8,12,12,8,0.6,3,6,8,7,0.533,F22,F22_F22_71,,,,,,,
F22_72,3,17,13,7,0.65,4,16,10,10,0.5,F22,F22_F22_72,,,,,,,
F22_73,3,17,10,10,0.5,4,16,7,13,0.35,F22,F22_F22_73,,,,,,,
F22_80,4,16,10,10,0.5,4,16,7,13,0.35,F22,F22_F22_80,,,,,,,
F22_81,5,15,6,14,0.3,14,6,13,7,0.65,F22,F22_F22_81,,,,,,,
F22_82,13,7,14,6,NaN,11,9,14,6,NaN,F22,F22_F22_82,,,,,,,
F22_83,0,20,7,13,NaN,0,20,11,9,NaN,F22,F22_F22_83,,,,,,,
F22_90,10,10,6,14,0.3,6,14,11,9,0.55,F22,F22_F22_90,,,,,,,
F22_91,4,16,3,17,0.15,5,15,14,6,0.7,F22,F22_F22_91,,,,,,,
F22_92,0,20,12,8,0.6,12,8,16,4,0.8,F22,F22_F22_92,,,,,,,
F22_93,15,5,17,3,0.85,0,20,1,19,0.05,F22,F22_F22_93,,,,,,,
F22_94,8,12,6,14,0.3,20,0,20,0,1,F22,F22_F22_94,,,,,,,
F22_95,13,7,16,4,0.8,8,12,10,10,0.5,F22,F22_F22_95,,,,,,,
F22_100,0,12,3,6,0.333,2,18,11,9,0.55,F22,F22_F22_100,,,,,,,
F22_101,,,,,,8,12,7,13,0.35,F22,F22_F22_101,,,,,,,
F22_102,4,16,6,14,0.3,7,13,11,9,0.55,F22,F22_F22_102,,,,,,,
F22_103,4,16,6,14,NaN,7,13,11,9,NaN,F22,F22_F22_103,,,,,,,
F22_200,1,19,14,6,NaN,6,14,10,10,NaN,F22,F22_F22_200,,,,,,,
F22_201,2,18,7,13,NaN,12,8,13,7,NaN,F22,F22_F22_201,,,,,,,
F22_202,7,13,8,12,0.4,6,14,5,15,0.25,F22,F22_F22_202,,,,,,,
F22_203,4,16,9,11,NaN,7,13,9,11,NaN,F22,F22_F22_203,,,,,,,
F22_206,5,15,14,6,0.7,20,0,20,0,1,F22,F22_F22_206,,,,,,,
F22_301,5,15,8,12,0.4,3,17,11,3,0.786,F22,F22_F22_301,,,,,,,
F22_303,2,18,8,12,0.4,6,14,12,8,0.6,F22,F22_F22_303,,,,,,,
F22_304,3,17,14,6,0.7,8,12,11,9,0.55,F22,F22_F22_304,,,,,,,
F22_400,1,19,7,13,NaN,6,7,8,6,NaN,F22,F22_F22_400,,,,,,,
F22_401,5,15,14,6,NaN,0,20,9,11,NaN,F22,F22_F22_401,,,,,,,
F22_402,9,11,16,4,NaN,,,,,,F22,F22_F22_402,,,,,,,
F22_403,7,13,10,10,0.5,7,13,10,10,0.5,F22,F22_F22_403,,,,,,,
F22_404,8,12,11,9,0.55,,,,,,F22,F22_F22_404,,,,,,,
F22_500,7,1,11,9,0.55,3,17,9,11,0.45,F22,F22_F22_500,,,,,,,
F22_501,5,15,12,8,0.6,10,10,15,5,0.75,F22,F22_F22_501,,,,,,,
F22_503,6,14,13,7,0.65,12,8,15,5,0.75,F22,F22_F22_503,,,,,,,
F22_504,7,13,15,5,0.75,6,14,17,3,0.85,F22,F22_F22_504,,,,,,,
F22_505,4,16,11,9,0.55,9,11,12,8,0.6,F22,F22_F22_505,,,,,,,
F22_600,11,9,8,12,0.4,9,11,13,7,0.65,F22,F22_F22_600,,,,,,,
F22_601,4,16,12,8,0.6,9,11,9,11,0.45,F22,F22_F22_601,,,,,,,
F22_602,8,12,8,12,0.4,13,7,11,9,0.55,F22,F22_F22_602,,,,,,,
F22_603,2,18,3,17,0.15,14,6,19,1,0.95,F22,F22_F22_603,,,,,,,
F22_604,7,13,6,14,0.3,4,16,11,9,0.55,F22,F22_F22_604,,,,,,,
F22_700,7,13,10,10,0.5,10,10,13,7,0.65,F22,F22_F22_700,,,,,,,
F22_701,5,15,5,15,0.25,2,18,6,14,0.3,F22,F22_F22_701,,,,,,,
F22_702,7,13,11,9,0.55,20,0,17,3,0.85,F22,F22_F22_702,,,,,,,
F22_703,2,18,14,6,0.7,8,12,14,6,0.7,F22,F22_F22_703,,,,,,,
F22_704,0,20,1,19,0.05,8,12,8,2,0.8,F22,F22_F22_704,,,,,,,
F22_800,5,15,10,10,0.5,4,16,8,12,0.4,F22,F22_F22_800,,,,,,,
F22_801,9,11,17,3,0.85,2,14,6,14,0.3,F22,F22_F22_801,,,,,,,
F22_802,2,18,8,12,NaN,6,14,6,12,NaN,F22,F22_F22_802,,,,,,,
F22_803,2,18,9,11,NaN,0,20,20,10,NaN,F22,F22_F22_803,,,,,,,
F22_804,3,17,9,11,0.45,2,18,10,10,0.5,F22,F22_F22_804,,,,,,,
F22_805,4,16,5,14,NaN,2,18,15,5,NaN,F22,F22_F22_805,,,,,,,
F22_900,2,18,13,7,NaN,4,16,19,1,NaN,F22,F22_F22_900,,,,,,,
F22_901,6,14,6,14,0.3,6,14,9,11,0.45,F22,F22_F22_901,,,,,,,
F22_902,0,20,4,16,0.2,0,20,1,19,0.05,F22,F22_F22_902,,,,,,,
F22_903,6,14,12,8,0.6,6,14,15,5,0.75,F22,F22_F22_903,,,,,,,
F22_904,1,19,4,16,0.2,10,10,4,16,0.2,F22,F22_F22_904,,,,,,,
F22_905,18,2,9,11,0.45,17,3,2,18,0.1,F22,F22_F22_905,,,,,,,
F22_1000,10,10,17,3,0.85,1,19,0,18,0,F22,F22_F22_1000,,,,,,,
F22_2000,4,16,6,14,0.3,4,16,7,13,0.35,F22,F22_F22_2000,,,,,,,
F22_2100,7,13,11,9,NaN,6,13,7,1,NaN,F22,F22_F22_2100,,,,,,,
F22_2200,4,16,7,13,0.35,3,17,8,12,0.4,F22,F22_F22_2200,,,,,,,
F22_2300,10,10,16,4,0.8,13,7,4,16,0.2,F22,F22_F22_2300,,,,,,,
F22_2400,6,14,5,15,0.25,19,1,15,5,0.75,F22,F22_F22_2400,,,,,,,
F22_3000,5,15,3,17,0.15,8,12,6,14,0.3,F22,F22_F22_3000,,,,,,,
F22_3100,2,6,0,3,0,7,14,6,13,0.316,F22,F22_F22_3100,,,,,,,
F22_3200,3,17,9,11,0.45,0,20,4,16,0.2,F22,F22_F22_3200,,,,,,,
F22_3300,7,13,9,9,NaN,2,18,2,18,NaN,F22,F22_F22_3300,,,,,,,
F22_3400,10,10,16,4,NaN,0,20,2,18,NaN,F22,F22_F22_3400,,,,,,,
F22_3500,10,10,13,7,0.65,1,19,11,9,0.55,F22,F22_F22_3500,,,,,,,
F22_3600,9,67,35,31,0.53,16,14,13,8,0.619,F22,F22_F22_3600,,,,,,,
F22_3700,3,17,16,4,0.8,9,11,15,5,0.75,F22,F22_F22_3700,,,,,,,
F22_3800,12,8,14,6,NaN,14,6,19,1,NaN,F22,F22_F22_3800,,,,,,,
F22_3900,,,,,,,,,,,F22,F22_F22_3900,,,,,,,
F22_4000,3,8,9,4,NaN,40,35,38,0,NaN,F22,F22_F22_4000,,,,,,,
F22_204,7,13,14,6,0.7,7,13,10,10,0.5,F22,F22_F22_204,,,,,,,
F22_302,5,13,6,12,0.333,3,17,9,11,0.45,F22,F22_F22_302,,,,,,,
F22_300,6,14,10,10,0.5,6,10,2,8,0.2,F22,F22_F22_300,,,,,,,
F22_502,20,0,20,0,NaN,14,6,16,4,NaN,F22,F22_F22_502,,,,,,,
