Group_ID,Light_Treatment_Population_white_eyed_Female,Light_Treatment_Population_wild_type_Female,Light_Treatment_Population_white_eyed_Male,Light_Treatment_Population_wild_type_Male,Light_Treatment_Frequency_for_white_eyed_Allele,Dark_Treatment_Population_white_eyed_Female,Dark_Treatment_Population_wild_type_Female,Dark_Treatment_Population_white_eyed_Male,Dark_Treatment_Population_wild_type_Male,Dark_Treatment_Frequency_for_white_eyed_Allele,Reporting_Year,Chron Order,,,,,,,
F22_4100,6,14,3,17,0.15,3,17,7,13,0.35,F22,F22_F22_4100,,,,,,,
TA.02,10,10,10,10,0.5,10,10,10,10,0.5,S23,,,,,,,,
TA.03,14,6,11,9,0.55,6,14,18,2,0.9,S23,,,,,,,,
TA.04,10,10,10,10,0.5,10,10,10,10,0.5,S23,,,,,,,,
TA.01,1,19,6,14,0.3,17,3,18,2,0.9,S23,,,,,,,,
Sam.17,12,8,19,1,0.95,16,4,13,7,0.65,S23,,,,,,,,
Sam.15,8,12,11,9,0.55,16,4,14,6,0.7,S23,,,,,,,,
Sam.20,14,6,11,9,0.55,13,7,19,1,0.95,S23,,,,,,,,
Sam.16,6,14,11,9,0.55,13,7,14,6,0.7,S23,,,,,,,,
Sam.18,2,18,8,12,NaN,19,1,20,0,NaN,S23,,,,,,,,
10,14,6,10,10,0.5,18,2,18,2,0.9,S23,,,,,,,,
Olivia.03,15,5,15,5,0.75,20,0,20,0,1,S23,,,,,,,,
Olivia.05,17,3,18,2,0.9,6,14,17,3,0.85,S23,,,,,,,,
Olivia.01,10,10,14,6,0.7,18,2,20,0,1,S23,,,,,,,,
Melissa.11,2,18,17,3,0.85,13,7,20,0,1,S23,,,,,,,,
Melissa.14,17,3,15,5,0.75,9,11,11,9,0.55,S23,,,,,,,,
Melissa.09,12,8,15,5,0.75,4,16,13,7,0.65,S23,,,,,,,,
Melissa.12,9,11,16,4,0.8,14,6,19,1,0.95,S23,,,,,,,,
Olivia.04,12,8,17,3,0.85,17,3,20,0,1,S23,,,,,,,,
Melissa.13,10,10,16,4,0.8,1,19,9,11,0.45,S23,,,,,,,,
19,11,9,9,11,0.45,17,3,18,2,0.9,S23,,,,,,,,
Grace.38,3,17,12,8,0.6,16,4,17,3,0.85,S23,,,,,,,,
Grace.39,8,12,13,7,0.65,6,14,7,13,0.35,S23,,,,,,,,
Grace.36,4,16,17,3,0.85,15,5,20,0,1,S23,,,,,,,,
Grace.41,3,17,10,10,0.5,10,10,12,8,0.6,S23,,,,,,,,
Grace.40,,,,,,8,6,10,18,NaN,S23,,,,,,,,
Alexis.32,14,6,15,5,0.75,15,5,13,7,0.65,S23,,,,,,,,
Alexis.33,2,18,14,6,0.7,,,,,,S23,,,,,,,,
Alicia.26,7,13,11,9,0.55,,,,,,S23,,,,,,,,
Alicia.25,1,19,13,7,0.65,17,3,19,1,0.95,S23,,,,,,,,
Alicia.22,10,10,8,12,0.4,8,12,17,3,0.85,S23,,,,,,,,
Alexis.29,8,12,15,5,0.75,8,2,19,1,0.95,S23,,,,,,,,
Alexis.31,13,7,14,6,0.7,8,12,16,4,0.8,S23,,,,,,,,
Alexis.30,8,12,18,2,0.9,19,1,19,1,0.95,S23,,,,,,,,
Alicia.24,8,12,17,3,0.85,14,6,20,0,1,S23,,,,,,,,
Alicia.23,6,14,9,11,0.45,13,7,16,4,0.8,S23,,,,,,,,
Olivia.02,4,14,14,6,0.7,13,0,15,3,0.833,S23,,,,,,,,
Grace.57,,,,,,,,,,,S23,,,,,,,,
Grace.59,6,14,5,15,0.25,12,8,20,0,1,S23,,,,,,,,
Grace.58,5,15,16,4,0.8,17,3,18,2,0.9,S23,,,,,,,,
Grace.60,11,9,13,7,0.65,12,8,13,7,0.65,S23,,,,,,,,
Lucas.52,20,0,20,0,1,18,2,19,1,0.95,S23,,,,,,,,
Lucas.51,7,13,14,6,0.7,6,14,10,10,0.5,S23,,,,,,,,
Lucas.54,1,19,8,9,NaN,8,2,9,4,NaN,S23,,,,,,,,
Lucas.53,6,14,16,4,0.8,4,16,15,5,0.75,S23,,,,,,,,
Justine.44,9,6,13,2,0.867,13,7,14,6,0.7,S23,,,,,,,,
Justine.45,4,16,17,3,0.85,11,9,14,7,0.667,S23,,,,,,,,
Justine.47,0,20,0,20,0,9,11,14,6,0.7,S23,,,,,,,,
Grace.62,11,9,13,7,0.65,12,8,13,7,0.65,S23,,,,,,,,
Justine.46,4,16,9,11,0.45,9,11,14,6,0.7,S23,,,,,,,,
Grace.37,14,,16,,,13,7,16,4,0.8,S23,,,,,,,,
Delores.80,13,7,17,3,0.85,15,5,16,4,0.8,S23,,,,,,,,
Delores.81,,,,,,16,0,23,0,1,S23,,,,,,,,
Grace.61,5,15,18,2,0.9,4,16,11,9,0.55,S23,,,,,,,,
Delores.82,2,18,17,3,0.85,19,1,18,2,0.9,S23,,,,,,,,
Delores.79,12,8,16,4,NaN,17,3,18,2,NaN,S23,,,,,,,,
Leeza.72,,,,,,,,,,,S23,,,,,,,,
Jon.66,,,,,,,,,,,S23,,,,,,,,
Jon.67,6,14,15,5,0.75,13,7,9,11,0.45,S23,,,,,,,,
Leeza.73,7,13,9,11,0.45,12,12,15,6,0.714,S23,,,,,,,,
Jon.65,13,7,16,4,NaN,20,,19,,,S23,,,,,,,,
Leeza.71,15,5,20,0,1,19,1,20,0,1,S23,,,,,,,,
Leeza.74,14,6,14,6,0.7,20,0,20,0,1,S23,,,,,,,,
Jon.68,17,3,18,2,0.9,20,0,20,0,1,S23,,,,,,,,
Sam.99,10,10,19,1,0.95,14,6,16,4,0.8,S23,,,,,,,,
Sam.104,18,2,20,0,1,20,0,20,0,1,S23,,,,,,,,
Sam.100,4,16,12,8,0.6,16,4,18,2,0.9,S23,,,,,,,,
Sam.103,10,10,12,8,0.6,9,11,14,6,0.7,S23,,,,,,,,
Sam.101,4,16,8,12,0.4,10,10,18,2,0.9,S23,,,,,,,,
102,19,1,20,0,1,5,15,9,11,0.45,S23,,,,,,,,
Yuki.85,7,7,5,1,0.833,10,10,13,5,0.722,S23,,,,,,,,
Yuki.89,6,10,10,4,0.714,14,6,16,4,0.8,S23,,,,,,,,
Yuki.87,2,18,9,11,0.45,19,1,17,3,0.85,S23,,,,,,,,
Yuki.86,6,12,17,3,0.85,20,0,19,1,0.95,S23,,,,,,,,
Rachel.92,10,10,12,8,0.6,17,3,20,0,1,S23,,,,,,,,
Rachel.95,2,18,15,5,NaN,7,5,16,4,NaN,S23,,,,,,,,
Rachel.93,15,4,16,5,0.762,20,0,20,0,1,S23,,,,,,,,
Rachel.94,2,18,16,4,0.8,17,3,16,4,0.8,S23,,,,,,,,
Deanna.122,5,15,13,7,0.65,4,7,7,11,0.389,S23,,,,,,,,
Deanna.124,10,10,9,11,0.45,8,12,8,12,0.4,S23,,,,,,,,
Deanna.120,3,17,13,7,0.65,5,15,19,1,0.95,S23,,,,,,,,
Lucas.50,,,,,,5,12,14,9,0.609,S23,,,,,,,,
Deanna.125,13,7,13,7,0.65,17,3,17,3,0.85,S23,,,,,,,,
123,4,16,15,5,0.75,17,3,16,4,0.8,S23,,,,,,,,
Deanna. 123,4,16,15,5,0.75,17,3,16,4,0.8,S23,,,,,,,,
Deanna.121,2,18,13,7,0.65,1,19,15,5,0.75,S23,,,,,,,,
Alicia.108,10,10,17,3,NaN,20,0,20,0,NaN,S23,,,,,,,,
Alicia.106,5,15,17,3,0.85,18,2,16,4,0.8,S23,,,,,,,,
Malcolm.119,10,10,6,14,0.3,20,0,20,0,1,S23,,,,,,,,
Yuki.88,10,10,13,7,0.65,10,10,16,4,0.8,S23,,,,,,,,
Malcolm.115,11,9,17,3,0.85,7,13,16,4,0.8,S23,,,,,,,,
2,14,6,16,4,0.8,11,9,13,7,0.65,S23,,,,,,,,
Malcolm.113,13,7,13,7,0.65,0,20,0,20,0,S23,,,,,,,,
Malcolm.116,17,3,19,1,0.95,20,0,19,1,0.95,S23,,,,,,,,
Alicia.109,10,10,13,7,0.65,10,10,16,4,0.8,S23,,,,,,,,
Malcolm.114,11,17,8,18,0.308,0,20,0,20,0,S23,,,,,,,,
Nadine.143,12,8,8,12,0.4,14,6,18,2,0.9,S23,,,,,,,,
Nadine.146,4,16,16,4,0.8,13,7,18,2,0.9,S23,,,,,,,,
Nadine. 145,17,3,16,4,0.8,11,9,14,6,0.7,S23,,,,,,,,
Nadine.144,12,8,10,10,NaN,13,7,14,6,NaN,S23,,,,,,,,
Nadine.142,7,13,14,6,0.7,18,2,18,2,0.9,S23,,,,,,,,
141,15,5,15,5,0.75,5,15,11,9,0.55,S23,,,,,,,,
Justine.128,,,,,,,,,,,S23,,,,,,,,
Justine.130,11,9,9,11,0.45,8,12,12,8,0.6,S23,,,,,,,,
Justine.127,6,14,14,6,0.7,18,2,18,2,0.9,S23,,,,,,,,
Justine.131,14,6,15,5,0.75,19,1,20,0,1,S23,,,,,,,,
Lucas.138,8,12,11,9,0.55,9,11,16,4,0.8,S23,,,,,,,,
Lucas.134,4,16,17,3,0.85,8,12,16,4,0.8,S23,,,,,,,,
Justine.129,10,10,15,5,0.75,10,10,16,4,0.8,S23,,,,,,,,
Lucas.139,12,8,15,5,0.75,16,4,17,3,0.85,S23,,,,,,,,
Lucas.135,18,2,17,3,0.85,17,3,20,0,1,S23,,,,,,,,
Lucas.137,18,9,11,9,0.55,20,0,20,0,1,S23,,,,,,,,
Justine.43,5,15,15,5,NaN,11,9,14,6,NaN,S23,,,,,,,,
Lucas.136,20,0,9,0,1,20,0,20,0,1,S23,,,,,,,,
Delores.163,7,13,5,12,0.294,14,6,20,0,1,S23,,,,,,,,
Delores.166,7,13,6,14,0.3,17,3,19,1,0.95,S23,,,,,,,,
Delores.164,13,7,8,12,NaN,6,14,10,10,NaN,S23,,,,,,,,
Delores.162,0,20,14,6,0.7,0,20,0,20,0,S23,,,,,,,,
165,9,11,8,12,0.4,0,20,6,14,0.3,S23,,,,,,,,
Delores.167,2,18,7,13,0.35,11,9,15,5,0.75,S23,,,,,,,,
151,0,0,1,1,0.5,20,0,20,0,1,S23,,,,,,,,
Nadine.150,13,7,17,3,0.85,,,,,,S23,,,,,,,,
148,6,14,12,8,0.6,19,1,18,2,0.9,S23,,,,,,,,
Nadine.149,3,17,12,8,0.6,12,8,17,3,0.85,S23,,,,,,,,
Melissa.156,20,0,18,2,0.9,20,1,19,0,1,S23,,,,,,,,
Melissa.155,2,18,8,12,0.4,19,1,14,6,0.7,S23,,,,,,,,
Melissa.158,3,17,4,16,0.2,12,8,11,9,0.55,S23,,,,,,,,
Melissa.159,5,15,6,14,0.3,9,11,13,7,0.65,S23,,,,,,,,
Olivia.186,6,4,10,0,1,3,9,8,6,0.571,S23,,,,,,,,
Olivia.187,1,19,16,4,0.8,17,3,19,1,0.95,S23,,,,,,,,
Olivia.185,8,12,14,6,0.7,17,3,18,2,0.9,S23,,,,,,,,
Olivia.184,5,8,12,7,0.632,8,12,18,2,0.9,S23,,,,,,,,
Olivia.183,6,14,5,15,0.25,8,12,13,7,0.65,S23,,,,,,,,
Olivia.188,4,16,2,18,NaN,16,4,17,3,NaN,S23,,,,,,,,
Leeza.178,1,19,14,6,0.7,13,7,12,2,0.857,S23,,,,,,,,
Tatiana. 169,7,13,17,3,0.85,7,13,8,12,0.4,S23,,,,,,,,
Tatiana.171,7,13,14,6,0.7,,,,,,S23,,,,,,,,
Leeza.176,3,17,14,6,0.7,11,9,12,7,0.632,S23,,,,,,,,
Tatiana.172,7,11,13,9,0.591,6,3,3,1,0.75,S23,,,,,,,,
179,14,6,9,11,0.45,9,11,17,3,0.85,S23,,,,,,,,
Tatiana.174,8,12,18,2,0.9,14,6,17,3,0.85,S23,,,,,,,,
Tatiana.173,,,,,,11,9,14,6,0.7,S23,,,,,,,,
leeza.177,15,5,15,5,0.75,11,9,15,5,0.75,S23,,,,,,,,
205,12,8,17,3,0.85,16,4,18,2,0.9,S23,,,,,,,,
Deanna.206,6,14,13,7,0.65,13,7,15,5,0.75,S23,,,,,,,,
Melissa.157,9,11,11,9,NaN,11,9,14,6,NaN,S23,,,,,,,,
Deanna.205,12,8,17,3,0.85,16,4,18,2,0.9,S23,,,,,,,,
Deanna.209,4,16,9,11,0.45,9,11,17,3,0.85,S23,,,,,,,,
Deanna.208,9,11,15,5,0.75,12,8,17,3,0.85,S23,,,,,,,,
Malcolm.201,2,18,4,16,0.2,9,11,11,9,0.55,S23,,,,,,,,
Deanna.207,3,17,12,8,0.6,4,16,13,7,0.65,S23,,,,,,,,
Malcolm.200,10,10,14,6,0.7,0,20,0,20,0,S23,,,,,,,,
Cam.190,10,10,12,8,0.6,13,2,15,5,0.75,S23,,,,,,,,
Malcolm.197,18,2,17,3,0.85,0,20,0,20,0,S23,,,,,,,,
Cam.191,20,0,20,0,1,7,13,15,5,0.75,S23,,,,,,,,
Cam.193,,,,,,,,,,,S23,,,,,,,,
Malcolm.199,16,16,16,18,NaN,17,3,18,2,NaN,S23,,,,,,,,
Malcolm.198,,,,,,13,0,7,0,1,S23,,,,,,,,
Cam.194,4,15,9,13,0.409,7,8,18,7,0.72,S23,,,,,,,,
Cam.192,2,18,8,10,0.444,6,14,12,8,0.6,S23,,,,,,,,
Deanna.204,14,6,18,2,0.9,16,4,19,1,0.95,S23,,,,,,,,
Malcolm.202,3,17,11,9,0.55,17,3,19,1,0.95,S23,,,,,,,,
Nick.235,8,12,14,6,0.7,13,7,17,3,0.85,S23,,,,,,,,
Nick.234,10,10,15,5,0.75,4,16,4,16,0.2,S23,,,,,,,,
Nick.237,11,9,12,8,0.6,12,8,13,7,0.65,S23,,,,,,,,
NICK.232,1,19,11,9,0.55,3,17,18,2,0.9,S23,,,,,,,,
Nick.236,5,15,8,12,0.4,14,6,17,3,0.85,S23,,,,,,,,
Yuki.212,7,13,18,2,0.9,16,4,12,8,0.6,S23,,,,,,,,
Nick.233,3,17,8,12,0.4,1,19,4,16,0.2,S23,,,,,,,,
Alexis.220,19,1,19,1,NaN,20,0,20,0,NaN,S23,,,,,,,,
Yuki.214,9,5,0,0,NaN,10,10,12,8,0.6,S23,,,,,,,,
Yuki.211,10,10,7,10,0.412,9,11,14,6,0.7,S23,,,,,,,,
Alexis.221,4,16,2,18,0.1,1,19,13,7,0.65,S23,,,,,,,,
Alexis.222,10,10,14,6,NaN,20,0,20,0,NaN,S23,,,,,,,,
Deanna.201,14,6,18,2,0.9,17,3,18,2,0.9,S23,,,,,,,,
Alexis.219,9,11,15,5,NaN,9,11,10,19,NaN,S23,,,,,,,,
Alexis.218,4,16,3,17,0.15,4,16,5,15,0.25,S23,,,,,,,,
Jon.240,1,19,14,6,0.7,16,4,17,3,0.85,S23,,,,,,,,
Jon.241,13,7,11,9,0.55,16,4,18,2,0.9,S23,,,,,,,,
Jon.239,2,18,2,18,0.1,7,13,9,11,0.45,S23,,,,,,,,
Nick.226,18,2,20,0,1,7,13,17,3,0.85,S23,,,,,,,,
Nick.225,8,12,15,5,0.75,2,18,2,18,0.1,S23,,,,,,,,
Rachel.248,5,15,7,13,0.35,6,14,7,13,0.35,S23,,,,,,,,
Rachel.247,18,2,20,0,1,17,3,19,1,0.95,S23,,,,,,,,
Rachel.246,9,10,15,5,0.75,11,9,15,5,0.75,S23,,,,,,,,
249,10,10,16,4,0.8,17,3,16,4,0.8,S23,,,,,,,,
Cam.260,10,10,13,7,0.65,11,9,19,1,0.95,S23,,,,,,,,
Tatiana.254,6,14,13,7,0.65,13,7,19,1,0.95,S23,,,,,,,,
Cam.262,33,22,27,12,0.692,19,23,52,30,0.634,S23,,,,,,,,
Cam.261,11,18,14,12,0.538,20,0,15,5,0.75,S23,,,,,,,,
Cam.263,14,6,15,5,0.75,8,12,10,10,0.5,S23,,,,,,,,
Tatiana.253,22,23,23,7,0.767,8,12,13,7,0.65,S23,,,,,,,,
Tatiana.170,8,12,13,7,0.65,4,16,13,7,0.65,S23,,,,,,,,
Yuki.213,0,49,53,0,1,24,13,26,17,0.605,S23,,,,,,,,
Ninah.02,12,8,11,9,0.55,8,12,14,0,1,F23,,,,,,,,
Nick.01,12,8,17,3,0.85,6,14,14,6,0.7,F23,,,,,,,,
NICK.02,6,14,11,9,0.55,8,11,13,5,0.722,F23,,,,,,,,
Ninah.01,12,8,13,7,0.65,18,2,16,4,0.8,F23,,,,,,,,
Nick.04,7,8,13,7,0.65,12,8,15,5,0.75,F23,,,,,,,,
Nick.03,17,3,17,3,0.85,19,1,16,4,0.8,F23,,,,,,,,
Ninah.03,4,16,14,6,0.7,7,13,16,4,0.8,F23,,,,,,,,
Nick.06,13,7,16,4,0.8,10,10,20,0,1,F23,,,,,,,,
Nick.05,9,11,17,3,0.85,,,,,,F23,,,,,,,,
Nick.07,10,10,13,7,0.65,18,2,19,1,0.95,F23,,,,,,,,
Charlie.01,1,19,13,7,0.65,11,9,5,15,0.25,F23,,,,,,,,
Charlie.02,18,2,19,1,0.95,6,14,15,5,0.75,F23,,,,,,,,
Ninah.04,2,11,19,9,0.679,14,14,11,9,0.55,F23,,,,,,,,
Ashley.03,0,20,9,11,0.45,6,14,8,12,0.4,F23,,,,,,,,
Madeleine.01,7,13,17,3,0.85,3,17,12,8,0.6,F23,,,,,,,,
Ashley.02,12,8,16,4,0.8,0,2,2,5,0.286,F23,,,,,,,,
Ashley.04,6,14,7,13,0.35,16,4,15,5,0.75,F23,,,,,,,,
Madeleine.03,9,11,13,7,0.65,18,2,18,2,0.9,F23,,,,,,,,
Madeleine.04,18,2,20,0,1,18,2,17,3,0.85,F23,,,,,,,,
Madeleine.02,17,3,12,8,0.6,14,6,20,0,1,F23,,,,,,,,
Ashley.01,10,10,8,12,0.4,0,2,2,5,0.286,F23,,,,,,,,
Deanna.01,6,14,8,12,0.4,9,11,11,9,0.55,F23,,,,,,,,
Sophia.01,9,11,20,0,1,13,7,13,7,0.65,F23,,,,,,,,
Sophia.02,2,18,7,13,0.35,11,9,17,3,0.85,F23,,,,,,,,
Eric.02,6,5,4,0,1,7,3,6,4,0.6,F23,,,,,,,,
Eric.01,12,8,13,7,0.65,11,9,18,2,0.9,F23,,,,,,,,
Charlie.04,15,5,19,1,0.95,13,7,10,10,0.5,F23,,,,,,,,
Ashley.05,18,2,18,2,0.9,6,14,16,4,0.8,F23,,,,,,,,
Ashley.06,10,10,11,9,0.55,13,7,18,2,0.9,F23,,,,,,,,
Charlie.03,18,8,16,4,0.8,1,2,8,2,0.8,F23,,,,,,,,
Madeleine.06,19,1,14,6,0.7,15,5,20,0,1,F23,,,,,,,,
Madeleine.05,9,11,17,3,0.85,15,5,16,4,0.8,F23,,,,,,,,
Madeline.07,,,,,,11,9,16,4,0.8,F23,,,,,,,,
Eric.03,19,1,19,1,0.95,15,5,19,1,0.95,F23,,,,,,,,
Eric.04,18,2,20,0,1,14,6,20,0,1,F23,,,,,,,,
Deanna.04,12,8,18,2,0.9,16,4,20,0,1,F23,,,,,,,,
Deanna.02,3,17,11,9,0.55,19,1,20,0,1,F23,,,,,,,,
Deanna.03,12,8,18,2,0.9,12,8,12,8,0.6,F23,,,,,,,,
Sophia.04,8,12,17,3,0.85,9,11,15,5,0.75,F23,,,,,,,,
Sophia.06,7,13,10,10,0.5,12,8,15,5,0.75,F23,,,,,,,,
Sophia.05,2,18,13,7,0.65,15,5,18,2,0.9,F23,,,,,,,,
Sophia.03,7,13,12,8,0.6,7,13,10,10,0.5,F23,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
